draw_date;n1;n2;n3;n4;n5;bonus
2022-01-05;2;8;18;41;48;4
2022-01-08;7;9;15;44;48;9
2022-01-12;2;3;6;28;38;2
2022-01-15;33;38;44;46;48;1
2022-01-19;13;35;42;45;46;7
2022-01-22;1;15;18;29;38;3
2022-01-26;10;18;22;28;45;4
2022-01-29;6;7;22;25;49;2
2022-02-02;3;17;23;39;47;8
2022-02-05;6;8;25;35;36;5
2022-02-09;13;24;37;40;41;2
2022-02-12;3;6;15;19;43;
2022-02-16;7;18;25;30;41;6
2022-02-19;11;14;23;24;43;5
2022-02-23;0;39;42;44;45;3
2022-02-26;11;16;30;35;47;7
2022-03-02;15;18;36;41;45;6
2022-03-05;3;4;15;21;26;5
2022-03-09;5;14;21;37;46;4
2022-03-12;10;26;30;32;42;5
2022-03-16;9;16;35;36;48;5
2022-03-19;24;26;28;38;48;4
2022-03-23;6;9;32;33;49;1
2022-03-26;38;39;41;45;46;8
2022-03-30;5;25;30;34;39;5
2022-04-02;1;8;36;44;47;9
2022-04-06;8;18;22;42;49;5
2022-04-09;1;11;28;30;47;
2022-04-13;34;41;42;43;46;2
2022-04-16;10;13;33;39;41;
2022-04-20;1;11;34;35;49;10
2022-04-23;2;8;21;24;32;5
2022-04-27;4;6;16;37;47;
2022-04-30;5;9;35;43;49;
2022-05-04;11;17;34;36;39;7
2022-05-07;14;35;45;47;49;4
2022-05-11;20;26;42;43;46;6
2022-05-14;8;15;16;29;34;2
2022-05-18;2;15;22;36;38;10
2022-05-21;1;5;15;41;46;1
2022-05-25;3;5;15;22;33;4
2022-05-28;14;18;32;35;43;3
2022-06-01;16;27;31;37;47;4
2022-06-04;7;23;27;28;43;8
2022-06-08;4;7;42;44;47;1
2022-06-11;7;16;22;26;47;4
2022-06-15;9;13;28;29;35;3
2022-06-18;5;16;18;29;30;9
2022-06-22;1;4;7;35;42;2
2022-06-25;11;16;27;32;49;8
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-06-29;4;11;14;25;26;1
2022-07-02;17;19;25;28;30;9
2022-07-06;10;13;32;43;46;5
2022-07-09;4;14;35;38;48;1
2022-07-13;4;21;31;38;48;9
2022-07-16;4;6;11;33;34;3
2022-07-20;2;5;7;17;21;6
2022-07-23;3;16;37;38;39;10
2022-07-27;1;2;10;15;27;9
2022-07-30;14;17;21;43;46;6
2022-08-03;9;16;17;26;43;5
2022-08-06;1;5;21;30;49;8
2022-08-10;5;7;35;37;40;4
2022-08-13;5;9;17;23;33;4
2022-08-17;11;19;24;29;35;5
2022-08-20;1;34;40;42;43;9
2022-08-24;7;9;17;20;43;2
2022-08-27;7;10;18;36;48;5
2022-08-31;0;22;39;44;46;5
2022-09-03;4;6;17;32;33;7
2022-09-07;1;3;9;18;22;5
2022-09-10;11;29;36;46;48;7
2022-09-14;1;5;8;36;45;3
2022-09-17;3;24;35;36;38;3
2022-09-21;3;9;20;24;28;1
2022-09-24;14;16;23;43;44;
2022-09-28;23;27;36;40;48;3
2022-10-01;2;11;12;16;27;3
2022-10-05;16;22;27;43;48;5
2022-10-08;3;7;11;25;45;8
2022-10-12;13;15;20;23;30;4
2022-10-15;2;13;15;26;43;6
2022-10-19;5;18;23;33;42;7
2022-10-22;2;8;22;35;44;5
2022-10-26;3;7;12;17;38;10
2022-10-29;21;23;28;39;47;9
2022-11-02;8;13;17;25;37;1
2022-11-05;1;28;34;35;46;
2022-11-09;5;22;24;28;43;10
2022-11-12;8;20;21;43;47;9
2022-11-16;20;21;26;27;43;5
2022-11-19;9;13;27;36;43;7
2022-11-23;12;37;40;44;48;5
2022-11-26;1;19;20;26;36;4
2022-11-30;21;28;38;39;42;8
2022-12-03;14;29;31;33;44;3
2022-12-07;6;19;33;41;43;10
2022-12-10;6;16;22;44;49;5
